GSM329408	GSM329409	GSM329410	GSM329411	GSM329414	GSM329417	GSM329419	GSM329421	GSM329425	GSM329427
ABHD14B	10.2829	10.9198	10.2462	11.1368	12.4001	11.0867	10.457	10.7237	10.8178	10.3189
ABHD15	11.6544	10.69	8.4409	7.6831	10.6214	9.6932	8.0576	10.7798	11.5494	11.2547
ABHD16A	10.3376	10.2182	8.9348	10.4157	10.4721	10.2986	10.8128	9.8059	10.6104	9.3072
ABHD16B	4.8262	3.43	4.1014	4.917	3.7242	4.7342	3.8947	3.3402	2.2629	4.36
ABHD17A	11.9656	12.422	11.9812	11.7993	12.0669	12.4532	12.4948	12.7616	12.3996	12.1623
ABHD17B	9.7258	12.4201	11.2486	8.5948	9.8569	10.8247	11.2962	11.7646	13.0107	12.5732
ABHD17C	8.3432	8.02	8.7083	7.9934	9.1587	7.8802	8.3024	7.6274	8.7765	9.4786
ABHD2	8.44	8.5298	8.2655	9.906	8.4597	8.0469	10.9778	9.2859	9.4947	9.7674
ABHD3	12.4808	10.7755	11.5545	10.9669	11.8286	12.2137	10.118	11.94	11.9487	11.7764
ABHD4	7.8372	8.4581	8.375	10.3844	8.4845	8.0837	10.3368	12.4505	9.4649	11.4306
ABHD5	8.2549	8.133	7.6049	10.0655	8.3625	7.4025	10.8983	8.5147	7.1988	8.2279
ABHD6	7.537	6.0244	7.9226	7.578	7.3261	8.4263	6.7189	5.9036	7.8803	7.4733
ABHD8	7.5062	5.8066	6.6214	7.1638	6.5842	6.0655	7.4431	7.1704	6.6907	5.8882
ABI1	11.501	12.1144	12.2138	10.8111	12.1648	12.3049	11.8865	12.2615	12.0098	11.5487
ABI2	10.915	8.3872	8.8473	9.0583	11.3508	9.8961	8.6135	9.6156	7.3376	10.6356
ABI2 /// RP11-363J17.1	4.4904	4.3297	5.4572	6.8809	4.858	4.3386	4.7498	3.4174	2.9242	4.8716
ABI3	6.6958	7.9794	9.4109	9.9301	7.9149	9.3792	8.4271	8.7129	7.3017	8.1502
ABI3BP	6.0969	5.4434	6.2499	7.8807	5.1732	5.4923	6.148	4.4805	4.5331	7.232
ABL1	10.9289	11.1588	8.7868	8.9932	10.5141	9.3057	9.9783	9.5363	11.1715	9.8241
ABL2	9.3249	9.3214	9.0622	8.3498	8.9507	7.9851	8.4535	8.3695	9.0753	9.0816
ABLIM1	7.2718	10.8258	11.9219	10.3991	9.117	11.7976	10.8279	7.3949	8.0748	7.2157
ABLIM2	6.8815	7.4035	8.1997	8.6237	6.9524	6.6893	7.2757	6.7027	5.931	7.7791
ABLIM3	6.0109	5.4915	5.1414	7.6975	5.4102	5.1467	4.9458	4.0305	2.2629	4.7206
ABO	7.5752	5.7246	5.9825	6.4656	5.9917	6.6351	7.2995	6.4773	6.3646	6.0214
abParts /// IGKC /// IGKV4-1 /// IGKV4-1	6.1618	7.2874	7.3031	9.0152	4.2373	9.9453	9.639	4.4234	6.014	4.6218
ABR	8.1377	9.7764	10.8284	10.2245	8.9064	10.5318	10.0612	11.143	10.6724	10.4647
ABRA	6.2162	4.7108	6.0183	6.0642	6.0514	5.2202	4.9129	5.0416	5.0749	5.5219
ABRACL	11.1406	11.2156	12.0606	11.2714	10.6871	11.9621	11.065	11.2879	12.8014	12.0142
ABT1	10.8932	10.5642	10.5047	9.2245	11.2535	10.6705	9.8806	8.4321	10.2584	8.9226
ABTB1	7.9037	9.2864	7.6255	10.9047	10.3342	8.7777	11.1287	11.4715	11.0025	10.814
ABTB2	6.4862	5.525	6.4882	7.7353	5.9551	6.0055	8.4398	8.8039	8.0756	8.3048
AC000111.3	5.8777	4.6419	6.2265	8.2509	3.4197	3.705	3.609	3.115	3.9886	4.8948
AC002059.10	7.2181	7.8877	7.7576	7.9074	7.6134	5.3472	8.144	6.6337	5.4225	5.7763
AC002064.5	5.4185	5.005	6.0068	8.7429	5.4446	5.672	5.5356	4.6161	4.0112	6.2058
AC002310.12 /// AK056973	8.0604	6.7546	6.7578	7.1041	6.8725	7.6784	7.1989	6.726	7.6562	7.7262
AC002310.7 /// ZNF785	6.2946	6.6103	7.8062	8.6006	6.1905	7.6922	6.4832	6.8672	4.7656	6.5116
AC003973.4	5.7612	4.6642	6.4285	6.1673	4.5685	4.5462	3.1302	4.473	3.4846	3.75
AC003986.5 /// BC043576	6.0392	5.9147	7.3102	8.6651	4.9699	6.463	5.8644	6.5123	4.625	5.8075
AC003989.4	5.4983	5.294	6.2899	6.0797	5.2222	5.1025	3.7443	5.3267	4.1122	7.2307
AC004158.3 /// AK055364	4.8753	3.7049	4.5611	7.417	4.0977	4.3435	4.1753	4.1293	5.3139	4.0027
AC004490.1 /// AX746733	5.4778	4.5301	5.6733	7.8163	2.5745	4.5023	2.6407	3.2526	2.8947	5.1036
